"epoch","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"12","215","215","215","0.46380001306533813","0.46380001306533813","0.46380001306533813","215","215","215","0.41780000925064087","0.41780000925064087","0.41780000925064087","215","215","215","0.5364999771118164","0.5364999771118164","0.5364999771118164","215","215","215","0.667900025844574","0.667900025844574","0.667900025844574"
"13","231","231","231","0.46299999952316284","0.46299999952316284","0.46299999952316284","231","231","231","0.49239999055862427","0.49239999055862427","0.49239999055862427","231","231","231","0.54830002784729","0.54830002784729","0.54830002784729","231","231","231","0.6879000067710876","0.6879000067710876","0.6879000067710876"
"14","248","248","248","0.47110000252723694","0.47110000252723694","0.47110000252723694","248","248","248","0.4546000063419342","0.4546000063419342","0.4546000063419342","248","248","248","0.5523999929428101","0.5523999929428101","0.5523999929428101","248","248","248","0.6725999712944031","0.6725999712944031","0.6725999712944031"
"15","265","265","265","0.46619999408721924","0.46619999408721924","0.46619999408721924","265","265","265","0.4819999933242798","0.4819999933242798","0.4819999933242798","265","265","265","0.5697000026702881","0.5697000026702881","0.5697000026702881","265","265","265","0.6790000200271606","0.6790000200271606","0.6790000200271606"
"16","281","281","281","0.4726000130176544","0.4726000130176544","0.4726000130176544","281","281","281","0.4821000099182129","0.4821000099182129","0.4821000099182129","281","281","281","0.5752999782562256","0.5752999782562256","0.5752999782562256","281","281","281","0.6870999932289124","0.6870999932289124","0.6870999932289124"
"17","298","298","298","0.46299999952316284","0.46299999952316284","0.46299999952316284","298","298","298","0.4620000123977661","0.4620000123977661","0.4620000123977661","298","298","298","0.5694000124931335","0.5694000124931335","0.5694000124931335","298","298","298","0.6872000098228455","0.6872000098228455","0.6872000098228455"
"18","315","315","315","0.46790000796318054","0.46790000796318054","0.46790000796318054","315","315","315","0.46720001101493835","0.46720001101493835","0.46720001101493835","315","315","315","0.5710999965667725","0.5710999965667725","0.5710999965667725","315","315","315","0.6552000045776367","0.6552000045776367","0.6552000045776367"
"19","331","331","331","0.4666000008583069","0.4666000008583069","0.4666000008583069","331","331","331","0.4902999997138977","0.4902999997138977","0.4902999997138977","331","331","331","0.5497999787330627","0.5497999787330627","0.5497999787330627","331","331","331","0.6947000026702881","0.6947000026702881","0.6947000026702881"
"20","348","348","348","0.4733999967575073","0.4733999967575073","0.4733999967575073","348","348","348","0.490200012922287","0.490200012922287","0.490200012922287","348","348","348","0.5866000056266785","0.5866000056266785","0.5866000056266785","348","348","348","0.6942999958992004","0.6942999958992004","0.6942999958992004"
"21","365","365","365","0.48179998993873596","0.48179998993873596","0.48179998993873596","365","365","365","0.47369998693466187","0.47369998693466187","0.47369998693466187","365","365","365","0.5533999800682068","0.5533999800682068","0.5533999800682068","365","365","365","0.6970999836921692","0.6970999836921692","0.6970999836921692"
"22","381","381","381","0.4763000011444092","0.4763000011444092","0.4763000011444092","381","381","381","0.48890000581741333","0.48890000581741333","0.48890000581741333","381","381","381","0.5656999945640564","0.5656999945640564","0.5656999945640564","381","381","381","0.7006000280380249","0.7006000280380249","0.7006000280380249"
"23","398","398","398","0.44440001249313354","0.44440001249313354","0.44440001249313354","398","398","398","0.4634000062942505","0.4634000062942505","0.4634000062942505","398","398","398","0.5587999820709229","0.5587999820709229","0.5587999820709229","398","398","398","0.6976000070571899","0.6976000070571899","0.6976000070571899"
