"epoch","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"55","930","930","930","0.460999995470047","0.460999995470047","0.460999995470047","930","930","930","0.49230000376701355","0.49230000376701355","0.49230000376701355","930","930","930","0.5867000222206116","0.5867000222206116","0.5867000222206116","930","930","930","0.7432000041007996","0.7432000041007996","0.7432000041007996"
"56","947","947","947","0.46810001134872437","0.46810001134872437","0.46810001134872437","947","947","947","0.4796999990940094","0.4796999990940094","0.4796999990940094","947","947","947","0.5365999937057495","0.5365999937057495","0.5365999937057495","947","947","947","0.7350999712944031","0.7350999712944031","0.7350999712944031"
"57","964","964","964","0.46880000829696655","0.46880000829696655","0.46880000829696655","964","964","964","0.4902999997138977","0.4902999997138977","0.4902999997138977","964","964","964","0.5580000281333923","0.5580000281333923","0.5580000281333923","964","964","964","0.7426000237464905","0.7426000237464905","0.7426000237464905"
"58","980","980","980","0.48559999465942383","0.48559999465942383","0.48559999465942383","980","980","980","0.4643999934196472","0.4643999934196472","0.4643999934196472","980","980","980","0.490200012922287","0.490200012922287","0.490200012922287","980","980","980","0.7480000257492065","0.7480000257492065","0.7480000257492065"
"59","997","997","997","0.44620001316070557","0.44620001316070557","0.44620001316070557","997","997","997","0.4255000054836273","0.4255000054836273","0.4255000054836273","997","997","997","0.5720999836921692","0.5720999836921692","0.5720999836921692","997","997","997","0.7468000054359436","0.7468000054359436","0.7468000054359436"
"60","1014","1014","1014","0.4790000021457672","0.4790000021457672","0.4790000021457672","1014","1014","1014","0.4893999993801117","0.4893999993801117","0.4893999993801117","1014","1014","1014","0.5672000050544739","0.5672000050544739","0.5672000050544739","1014","1014","1014","0.7491000294685364","0.7491000294685364","0.7491000294685364"
"61","1030","1030","1030","0.4510999917984009","0.4510999917984009","0.4510999917984009","1030","1030","1030","0.48420000076293945","0.48420000076293945","0.48420000076293945","1030","1030","1030","0.5848000049591064","0.5848000049591064","0.5848000049591064","1030","1030","1030","0.7462000250816345","0.7462000250816345","0.7462000250816345"
"62","1047","1047","1047","0.45809999108314514","0.45809999108314514","0.45809999108314514","1047","1047","1047","0.4657000005245209","0.4657000005245209","0.4657000005245209","1047","1047","1047","0.5911999940872192","0.5911999940872192","0.5911999940872192","1047","1047","1047","0.7458000183105469","0.7458000183105469","0.7458000183105469"
"63","1063","1063","1063","0.46959999203681946","0.46959999203681946","0.46959999203681946","1063","1063","1063","0.4952000081539154","0.4952000081539154","0.4952000081539154","1063","1063","1063","0.5896999835968018","0.5896999835968018","0.5896999835968018","1063","1063","1063","0.7422999739646912","0.7422999739646912","0.7422999739646912"
"64","1080","1080","1080","0.4781000018119812","0.4781000018119812","0.4781000018119812","1080","1080","1080","0.4814999997615814","0.4814999997615814","0.4814999997615814","1080","1080","1080","0.5884000062942505","0.5884000062942505","0.5884000062942505","1080","1080","1080","0.744700014591217","0.744700014591217","0.744700014591217"
"65","1097","1097","1097","0.4690000116825104","0.4690000116825104","0.4690000116825104","1097","1097","1097","0.49320000410079956","0.49320000410079956","0.49320000410079956","1097","1097","1097","0.5935999751091003","0.5935999751091003","0.5935999751091003","1097","1097","1097","0.7523999810218811","0.7523999810218811","0.7523999810218811"
"66","1113","1113","1113","0.46309998631477356","0.46309998631477356","0.46309998631477356","1113","1113","1113","0.49320000410079956","0.49320000410079956","0.49320000410079956","1113","1113","1113","0.5819000005722046","0.5819000005722046","0.5819000005722046","1113","1113","1113","0.7408000230789185","0.7408000230789185","0.7408000230789185"
"67","1130","1130","1130","0.4641999900341034","0.4641999900341034","0.4641999900341034","1130","1130","1130","0.48159998655319214","0.48159998655319214","0.48159998655319214","1130","1130","1130","0.5916000008583069","0.5916000008583069","0.5916000008583069","1130","1130","1130","0.7398999929428101","0.7398999929428101","0.7398999929428101"
"68","1147","1147","1147","0.46320000290870667","0.46320000290870667","0.46320000290870667","1147","1147","1147","0.4625000059604645","0.4625000059604645","0.4625000059604645","1147","1147","1147","0.5817000269889832","0.5817000269889832","0.5817000269889832","1147","1147","1147","0.746399998664856","0.746399998664856","0.746399998664856"
"69","1163","1163","1163","0.4471000134944916","0.4471000134944916","0.4471000134944916","1163","1163","1163","0.48750001192092896","0.48750001192092896","0.48750001192092896","1163","1163","1163","0.567300021648407","0.567300021648407","0.567300021648407","1163","1163","1163","0.7432000041007996","0.7432000041007996","0.7432000041007996"
"70","1180","1180","1180","0.43779999017715454","0.43779999017715454","0.43779999017715454","1180","1180","1180","0.46970000863075256","0.46970000863075256","0.46970000863075256","1180","1180","1180","0.5727999806404114","0.5727999806404114","0.5727999806404114","1180","1180","1180","0.7282000184059143","0.7282000184059143","0.7282000184059143"
"71","1197","1197","1197","0.46939998865127563","0.46939998865127563","0.46939998865127563","1197","1197","1197","0.4887000024318695","0.4887000024318695","0.4887000024318695","1197","1197","1197","0.5752000212669373","0.5752000212669373","0.5752000212669373","1197","1197","1197","0.7555000185966492","0.7555000185966492","0.7555000185966492"
"72","1213","1213","1213","0.46560001373291016","0.46560001373291016","0.46560001373291016","1213","1213","1213","0.4948999881744385","0.4948999881744385","0.4948999881744385","1213","1213","1213","0.5454000234603882","0.5454000234603882","0.5454000234603882","1213","1213","1213","0.7494999766349792","0.7494999766349792","0.7494999766349792"
"73","1230","1230","1230","0.45890000462532043","0.45890000462532043","0.45890000462532043","1230","1230","1230","0.4925999939441681","0.4925999939441681","0.4925999939441681","1230","1230","1230","0.5647000074386597","0.5647000074386597","0.5647000074386597","1230","1230","1230","0.7368999719619751","0.7368999719619751","0.7368999719619751"
"74","1247","1247","1247","0.4629000127315521","0.4629000127315521","0.4629000127315521","1247","1247","1247","0.47749999165534973","0.47749999165534973","0.47749999165534973","1247","1247","1247","0.5809000134468079","0.5809000134468079","0.5809000134468079","1247","1247","1247","0.7491999864578247","0.7491999864578247","0.7491999864578247"
"75","1263","1263","1263","0.4788999855518341","0.4788999855518341","0.4788999855518341","1263","1263","1263","0.4853000044822693","0.4853000044822693","0.4853000044822693","1263","1263","1263","0.603600025177002","0.603600025177002","0.603600025177002","1263","1263","1263","0.7562999725341797","0.7562999725341797","0.7562999725341797"
"76","1280","1280","1280","0.475600004196167","0.475600004196167","0.475600004196167","1280","1280","1280","0.49619999527931213","0.49619999527931213","0.49619999527931213","1280","1280","1280","0.5619999766349792","0.5619999766349792","0.5619999766349792","1280","1280","1280","0.7419999837875366","0.7419999837875366","0.7419999837875366"
"77","1296","1296","1296","0.4650999903678894","0.4650999903678894","0.4650999903678894","1296","1296","1296","0.4916999936103821","0.4916999936103821","0.4916999936103821","1296","1296","1296","0.5494999885559082","0.5494999885559082","0.5494999885559082","1296","1296","1296","0.7523000240325928","0.7523000240325928","0.7523000240325928"
"78","1313","1313","1313","0.48010000586509705","0.48010000586509705","0.48010000586509705","1313","1313","1313","0.4672999978065491","0.4672999978065491","0.4672999978065491","1313","1313","1313","0.5745999813079834","0.5745999813079834","0.5745999813079834","1313","1313","1313","0.7493000030517578","0.7493000030517578","0.7493000030517578"
"79","1330","1330","1330","0.4652999937534332","0.4652999937534332","0.4652999937534332","1330","1330","1330","0.4860999882221222","0.4860999882221222","0.4860999882221222","1330","1330","1330","0.5335999727249146","0.5335999727249146","0.5335999727249146","1330","1330","1330","0.7419000267982483","0.7419000267982483","0.7419000267982483"
"80","1346","1346","1346","0.4478999972343445","0.4478999972343445","0.4478999972343445","1346","1346","1346","0.4812000095844269","0.4812000095844269","0.4812000095844269","1346","1346","1346","0.5788999795913696","0.5788999795913696","0.5788999795913696","1346","1346","1346","0.751800000667572","0.751800000667572","0.751800000667572"
"81","1363","1363","1363","0.4677000045776367","0.4677000045776367","0.4677000045776367","1363","1363","1363","0.5041999816894531","0.5041999816894531","0.5041999816894531","1363","1363","1363","0.5709999799728394","0.5709999799728394","0.5709999799728394","1363","1363","1363","0.7598000168800354","0.7598000168800354","0.7598000168800354"
"82","1380","1380","1380","0.44269999861717224","0.44269999861717224","0.44269999861717224","1380","1380","1380","0.48660001158714294","0.48660001158714294","0.48660001158714294","1380","1380","1380","0.5820000171661377","0.5820000171661377","0.5820000171661377","1380","1380","1380","0.754800021648407","0.754800021648407","0.754800021648407"
"83","1396","1396","1396","0.475600004196167","0.475600004196167","0.475600004196167","1396","1396","1396","0.4921000003814697","0.4921000003814697","0.4921000003814697","1396","1396","1396","0.5365999937057495","0.5365999937057495","0.5365999937057495","1396","1396","1396","0.7548999786376953","0.7548999786376953","0.7548999786376953"
"84","1413","1413","1413","0.4611999988555908","0.4611999988555908","0.4611999988555908","1413","1413","1413","0.48660001158714294","0.48660001158714294","0.48660001158714294","1413","1413","1413","0.5648999810218811","0.5648999810218811","0.5648999810218811","1413","1413","1413","0.7541999816894531","0.7541999816894531","0.7541999816894531"
"85","1430","1430","1430","0.45019999146461487","0.45019999146461487","0.45019999146461487","1430","1430","1430","0.5006999969482422","0.5006999969482422","0.5006999969482422","1430","1430","1430","0.5710999965667725","0.5710999965667725","0.5710999965667725","1430","1430","1430","0.7462999820709229","0.7462999820709229","0.7462999820709229"
"86","1446","1446","1446","0.47749999165534973","0.47749999165534973","0.47749999165534973","1446","1446","1446","0.4779999852180481","0.4779999852180481","0.4779999852180481","1446","1446","1446","0.5881999731063843","0.5881999731063843","0.5881999731063843","1446","1446","1446","0.7508000135421753","0.7508000135421753","0.7508000135421753"
"87","1463","1463","1463","0.45329999923706055","0.45329999923706055","0.45329999923706055","1463","1463","1463","0.49149999022483826","0.49149999022483826","0.49149999022483826","1463","1463","1463","0.5879999995231628","0.5879999995231628","0.5879999995231628","1463","1463","1463","0.7538999915122986","0.7538999915122986","0.7538999915122986"
"88","1479","1479","1479","0.4571000039577484","0.4571000039577484","0.4571000039577484","1479","1479","1479","0.5026999711990356","0.5026999711990356","0.5026999711990356","1479","1479","1479","0.5662000179290771","0.5662000179290771","0.5662000179290771","1479","1479","1479","0.7441999912261963","0.7441999912261963","0.7441999912261963"
"89","1496","1496","1496","0.4587000012397766","0.4587000012397766","0.4587000012397766","1496","1496","1496","0.4641000032424927","0.4641000032424927","0.4641000032424927","1496","1496","1496","0.559499979019165","0.559499979019165","0.559499979019165","1496","1496","1496","0.7544000148773193","0.7544000148773193","0.7544000148773193"
"90","1513","1513","1513","0.460099995136261","0.460099995136261","0.460099995136261","1513","1513","1513","0.5","0.5","0.5","1513","1513","1513","0.5873000025749207","0.5873000025749207","0.5873000025749207","1513","1513","1513","0.7491000294685364","0.7491000294685364","0.7491000294685364"
"91","1529","1529","1529","0.4819999933242798","0.4819999933242798","0.4819999933242798","1529","1529","1529","0.45669999718666077","0.45669999718666077","0.45669999718666077","1529","1529","1529","0.5507000088691711","0.5507000088691711","0.5507000088691711","1529","1529","1529","0.7520999908447266","0.7520999908447266","0.7520999908447266"
"92","1546","1546","1546","0.4758000075817108","0.4758000075817108","0.4758000075817108","1546","1546","1546","0.48240000009536743","0.48240000009536743","0.48240000009536743","1546","1546","1546","0.5590000152587891","0.5590000152587891","0.5590000152587891","1546","1546","1546","0.7444000244140625","0.7444000244140625","0.7444000244140625"
"93","1563","1563","1563","0.4487000107765198","0.4487000107765198","0.4487000107765198","1563","1563","1563","0.49380001425743103","0.49380001425743103","0.49380001425743103","1563","1563","1563","0.5702999830245972","0.5702999830245972","0.5702999830245972","1563","1563","1563","0.7494999766349792","0.7494999766349792","0.7494999766349792"
"94","1579","1579","1579","0.4528999924659729","0.4528999924659729","0.4528999924659729","1579","1579","1579","0.4862000048160553","0.4862000048160553","0.4862000048160553","1579","1579","1579","0.5432000160217285","0.5432000160217285","0.5432000160217285","1579","1579","1579","0.7422999739646912","0.7422999739646912","0.7422999739646912"
"95","1596","1596","1596","0.47620001435279846","0.47620001435279846","0.47620001435279846","1596","1596","1596","0.47040000557899475","0.47040000557899475","0.47040000557899475","1596","1596","1596","0.5561000108718872","0.5561000108718872","0.5561000108718872","1596","1596","1596","0.7572000026702881","0.7572000026702881","0.7572000026702881"
"96","1613","1613","1613","0.46560001373291016","0.46560001373291016","0.46560001373291016","1613","1613","1613","0.4814000129699707","0.4814000129699707","0.4814000129699707","1613","1613","1613","0.5045999884605408","0.5045999884605408","0.5045999884605408","1613","1613","1613","0.7498999834060669","0.7498999834060669","0.7498999834060669"
"97","1629","1629","1629","0.44609999656677246","0.44609999656677246","0.44609999656677246","1629","1629","1629","0.492000013589859","0.492000013589859","0.492000013589859","1629","1629","1629","0.5683000087738037","0.5683000087738037","0.5683000087738037","1629","1629","1629","0.7490000128746033","0.7490000128746033","0.7490000128746033"
"98","1646","1646","1646","0.4772999882698059","0.4772999882698059","0.4772999882698059","1646","1646","1646","0.48330000042915344","0.48330000042915344","0.48330000042915344","1646","1646","1646","0.5631999969482422","0.5631999969482422","0.5631999969482422","1646","1646","1646","0.7516000270843506","0.7516000270843506","0.7516000270843506"
"99","1663","1663","1663","0.45750001072883606","0.45750001072883606","0.45750001072883606","1663","1663","1663","0.5060999989509583","0.5060999989509583","0.5060999989509583","1663","1663","1663","0.5874000191688538","0.5874000191688538","0.5874000191688538","1663","1663","1663","0.7457000017166138","0.7457000017166138","0.7457000017166138"
"100","1679","1679","1679","0.5034000277519226","0.5034000277519226","0.5034000277519226","1679","1679","1679","0.5325999855995178","0.5325999855995178","0.5325999855995178","1679","1679","1679","0.626800000667572","0.626800000667572","0.626800000667572","1679","1679","1679","0.7663000226020813","0.7663000226020813","0.7663000226020813"
"101","1696","1696","1696","0.5026000142097473","0.5026000142097473","0.5026000142097473","1696","1696","1696","0.5360000133514404","0.5360000133514404","0.5360000133514404","1696","1696","1696","0.6273000240325928","0.6273000240325928","0.6273000240325928","1696","1696","1696","0.7731000185012817","0.7731000185012817","0.7731000185012817"
"102","1712","1712","1712","0.5113000273704529","0.5113000273704529","0.5113000273704529","1712","1712","1712","0.5432000160217285","0.5432000160217285","0.5432000160217285","1712","1712","1712","0.6292999982833862","0.6292999982833862","0.6292999982833862","1712","1712","1712","0.7688999772071838","0.7688999772071838","0.7688999772071838"
"103","1729","1729","1729","0.5113000273704529","0.5113000273704529","0.5113000273704529","1729","1729","1729","0.5480999946594238","0.5480999946594238","0.5480999946594238","1729","1729","1729","0.628000020980835","0.628000020980835","0.628000020980835","1729","1729","1729","0.7720000147819519","0.7720000147819519","0.7720000147819519"
"104","1746","1746","1746","0.5022000074386597","0.5022000074386597","0.5022000074386597","1746","1746","1746","0.5485000014305115","0.5485000014305115","0.5485000014305115","1746","1746","1746","0.6248000264167786","0.6248000264167786","0.6248000264167786","1746","1746","1746","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"105","1762","1762","1762","0.5101000070571899","0.5101000070571899","0.5101000070571899","1762","1762","1762","0.5461999773979187","0.5461999773979187","0.5461999773979187","1762","1762","1762","0.6333000063896179","0.6333000063896179","0.6333000063896179","1762","1762","1762","0.7724999785423279","0.7724999785423279","0.7724999785423279"
"106","1779","1779","1779","0.5059999823570251","0.5059999823570251","0.5059999823570251","1779","1779","1779","0.5473999977111816","0.5473999977111816","0.5473999977111816","1779","1779","1779","0.635699987411499","0.635699987411499","0.635699987411499","1779","1779","1779","0.771399974822998","0.771399974822998","0.771399974822998"
"107","1796","1796","1796","0.5060999989509583","0.5060999989509583","0.5060999989509583","1796","1796","1796","0.5486000180244446","0.5486000180244446","0.5486000180244446","1796","1796","1796","0.6376000046730042","0.6376000046730042","0.6376000046730042","1796","1796","1796","0.7753000259399414","0.7753000259399414","0.7753000259399414"
"108","1812","1812","1812","0.5074999928474426","0.5074999928474426","0.5074999928474426","1812","1812","1812","0.5519000291824341","0.5519000291824341","0.5519000291824341","1812","1812","1812","0.6277999877929688","0.6277999877929688","0.6277999877929688","1812","1812","1812","0.7732999920845032","0.7732999920845032","0.7732999920845032"
"109","1829","1829","1829","0.5139999985694885","0.5139999985694885","0.5139999985694885","1829","1829","1829","0.5462999939918518","0.5462999939918518","0.5462999939918518","1829","1829","1829","0.6345000267028809","0.6345000267028809","0.6345000267028809","1829","1829","1829","0.7736999988555908","0.7736999988555908","0.7736999988555908"
"110","1846","1846","1846","0.5051000118255615","0.5051000118255615","0.5051000118255615","1846","1846","1846","0.5467000007629395","0.5467000007629395","0.5467000007629395","1846","1846","1846","0.631600022315979","0.631600022315979","0.631600022315979","1846","1846","1846","0.7728999853134155","0.7728999853134155","0.7728999853134155"
"111","1862","1862","1862","0.5105999708175659","0.5105999708175659","0.5105999708175659","1862","1862","1862","0.5511000156402588","0.5511000156402588","0.5511000156402588","1862","1862","1862","0.6323999762535095","0.6323999762535095","0.6323999762535095","1862","1862","1862","0.774399995803833","0.774399995803833","0.774399995803833"
"112","1879","1879","1879","0.5074999928474426","0.5074999928474426","0.5074999928474426","1879","1879","1879","0.5479999780654907","0.5479999780654907","0.5479999780654907","1879","1879","1879","0.6355999708175659","0.6355999708175659","0.6355999708175659","1879","1879","1879","0.7738999724388123","0.7738999724388123","0.7738999724388123"
"113","1895","1895","1895","0.5156000256538391","0.5156000256538391","0.5156000256538391","1895","1895","1895","0.5539000034332275","0.5539000034332275","0.5539000034332275","1895","1895","1895","0.6241999864578247","0.6241999864578247","0.6241999864578247","1895","1895","1895","0.7760000228881836","0.7760000228881836","0.7760000228881836"
"114","1912","1912","1912","0.508899986743927","0.508899986743927","0.508899986743927","1912","1912","1912","0.550599992275238","0.550599992275238","0.550599992275238","1912","1912","1912","0.6301000118255615","0.6301000118255615","0.6301000118255615","1912","1912","1912","0.7778000235557556","0.7778000235557556","0.7778000235557556"
"115","1929","1929","1929","0.515999972820282","0.515999972820282","0.515999972820282","1929","1929","1929","0.5529000163078308","0.5529000163078308","0.5529000163078308","1929","1929","1929","0.6373999714851379","0.6373999714851379","0.6373999714851379","1929","1929","1929","0.7748000025749207","0.7748000025749207","0.7748000025749207"
"116","1945","1945","1945","0.510699987411499","0.510699987411499","0.510699987411499","1945","1945","1945","0.5521000027656555","0.5521000027656555","0.5521000027656555","1945","1945","1945","0.6355999708175659","0.6355999708175659","0.6355999708175659","1945","1945","1945","0.7781000137329102","0.7781000137329102","0.7781000137329102"
"117","1962","1962","1962","0.5123000144958496","0.5123000144958496","0.5123000144958496","1962","1962","1962","0.5430999994277954","0.5430999994277954","0.5430999994277954","1962","1962","1962","0.6270999908447266","0.6270999908447266","0.6270999908447266","1962","1962","1962","0.7760000228881836","0.7760000228881836","0.7760000228881836"
"118","1979","1979","1979","0.5135999917984009","0.5135999917984009","0.5135999917984009","1979","1979","1979","0.5550000071525574","0.5550000071525574","0.5550000071525574","1979","1979","1979","0.6413000226020813","0.6413000226020813","0.6413000226020813","1979","1979","1979","0.7766000032424927","0.7766000032424927","0.7766000032424927"
"119","1995","1995","1995","0.5049999952316284","0.5049999952316284","0.5049999952316284","1995","1995","1995","0.5473999977111816","0.5473999977111816","0.5473999977111816","1995","1995","1995","0.636900007724762","0.636900007724762","0.636900007724762","1995","1995","1995","0.7764999866485596","0.7764999866485596","0.7764999866485596"
"120","2012","2012","2012","0.511900007724762","0.511900007724762","0.511900007724762","2012","2012","2012","0.5461999773979187","0.5461999773979187","0.5461999773979187","2012","2012","2012","0.6395000219345093","0.6395000219345093","0.6395000219345093","2012","2012","2012","0.7784000039100647","0.7784000039100647","0.7784000039100647"
"121","2029","2029","2029","0.5160999894142151","0.5160999894142151","0.5160999894142151","2029","2029","2029","0.5473999977111816","0.5473999977111816","0.5473999977111816","2029","2029","2029","0.6414999961853027","0.6414999961853027","0.6414999961853027","2029","2029","2029","0.777999997138977","0.777999997138977","0.777999997138977"
"122","2045","2045","2045","0.5142999887466431","0.5142999887466431","0.5142999887466431","2045","2045","2045","0.5490000247955322","0.5490000247955322","0.5490000247955322","2045","2045","2045","0.6363999843597412","0.6363999843597412","0.6363999843597412","2045","2045","2045","0.776199996471405","0.776199996471405","0.776199996471405"
"123","2062","2062","2062","0.5200999975204468","0.5200999975204468","0.5200999975204468","2062","2062","2062","0.5498999953269958","0.5498999953269958","0.5498999953269958","2062","2062","2062","0.640999972820282","0.640999972820282","0.640999972820282","2062","2062","2062","0.777899980545044","0.777899980545044","0.777899980545044"
"124","2079","2079","2079","0.515500009059906","0.515500009059906","0.515500009059906","2079","2079","2079","0.5554999709129333","0.5554999709129333","0.5554999709129333","2079","2079","2079","0.6377000212669373","0.6377000212669373","0.6377000212669373","2079","2079","2079","0.7785000205039978","0.7785000205039978","0.7785000205039978"
"125","2095","2095","2095","0.5116999745368958","0.5116999745368958","0.5116999745368958","2095","2095","2095","0.548799991607666","0.548799991607666","0.548799991607666","2095","2095","2095","0.640500009059906","0.640500009059906","0.640500009059906","2095","2095","2095","0.7775999903678894","0.7775999903678894","0.7775999903678894"
"126","2112","2112","2112","0.5077999830245972","0.5077999830245972","0.5077999830245972","2112","2112","2112","0.5465999841690063","0.5465999841690063","0.5465999841690063","2112","2112","2112","0.6425999999046326","0.6425999999046326","0.6425999999046326","2112","2112","2112","0.7788000106811523","0.7788000106811523","0.7788000106811523"
"127","2128","2128","2128","0.5042999982833862","0.5042999982833862","0.5042999982833862","2128","2128","2128","0.5526999831199646","0.5526999831199646","0.5526999831199646","2128","2128","2128","0.6291000247001648","0.6291000247001648","0.6291000247001648","2128","2128","2128","0.7785000205039978","0.7785000205039978","0.7785000205039978"
"128","2145","2145","2145","0.5130000114440918","0.5130000114440918","0.5130000114440918","2145","2145","2145","0.5573999881744385","0.5573999881744385","0.5573999881744385","2145","2145","2145","0.6351000070571899","0.6351000070571899","0.6351000070571899","2145","2145","2145","0.7778000235557556","0.7778000235557556","0.7778000235557556"
"129","2162","2162","2162","0.5126000046730042","0.5126000046730042","0.5126000046730042","2162","2162","2162","0.5557000041007996","0.5557000041007996","0.5557000041007996","2162","2162","2162","0.6370999813079834","0.6370999813079834","0.6370999813079834","2162","2162","2162","0.7791000008583069","0.7791000008583069","0.7791000008583069"
"130","2178","2178","2178","0.5148000121116638","0.5148000121116638","0.5148000121116638","2178","2178","2178","0.5457000136375427","0.5457000136375427","0.5457000136375427","2178","2178","2178","0.6370999813079834","0.6370999813079834","0.6370999813079834","2178","2178","2178","0.7774999737739563","0.7774999737739563","0.7774999737739563"
"131","2195","2195","2195","0.5152999758720398","0.5152999758720398","0.5152999758720398","2195","2195","2195","0.5425000190734863","0.5425000190734863","0.5425000190734863","2195","2195","2195","0.6398000121116638","0.6398000121116638","0.6398000121116638","2195","2195","2195","0.7785999774932861","0.7785999774932861","0.7785999774932861"
"132","2212","2212","2212","0.5142999887466431","0.5142999887466431","0.5142999887466431","2212","2212","2212","0.5511000156402588","0.5511000156402588","0.5511000156402588","2212","2212","2212","0.6396999955177307","0.6396999955177307","0.6396999955177307","2212","2212","2212","0.7781000137329102","0.7781000137329102","0.7781000137329102"
"133","2228","2228","2228","0.5121999979019165","0.5121999979019165","0.5121999979019165","2228","2228","2228","0.5515000224113464","0.5515000224113464","0.5515000224113464","2228","2228","2228","0.6434000134468079","0.6434000134468079","0.6434000134468079","2228","2228","2228","0.7775999903678894","0.7775999903678894","0.7775999903678894"
"134","2245","2245","2245","0.5112000107765198","0.5112000107765198","0.5112000107765198","2245","2245","2245","0.5498999953269958","0.5498999953269958","0.5498999953269958","2245","2245","2245","0.6460999846458435","0.6460999846458435","0.6460999846458435","2245","2245","2245","0.7764999866485596","0.7764999866485596","0.7764999866485596"
"135","2262","2262","2262","0.510699987411499","0.510699987411499","0.510699987411499","2262","2262","2262","0.5497000217437744","0.5497000217437744","0.5497000217437744","2262","2262","2262","0.6392999887466431","0.6392999887466431","0.6392999887466431","2262","2262","2262","0.7800999879837036","0.7800999879837036","0.7800999879837036"
"136","2278","2278","2278","0.512499988079071","0.512499988079071","0.512499988079071","2278","2278","2278","0.5507000088691711","0.5507000088691711","0.5507000088691711","2278","2278","2278","0.6355000138282776","0.6355000138282776","0.6355000138282776","2278","2278","2278","0.7781000137329102","0.7781000137329102","0.7781000137329102"
"137","2295","2295","2295","0.5121999979019165","0.5121999979019165","0.5121999979019165","2295","2295","2295","0.5511999726295471","0.5511999726295471","0.5511999726295471","2295","2295","2295","0.6248000264167786","0.6248000264167786","0.6248000264167786","2295","2295","2295","0.7778000235557556","0.7778000235557556","0.7778000235557556"
"138","2311","2311","2311","0.515999972820282","0.515999972820282","0.515999972820282","2311","2311","2311","0.550000011920929","0.550000011920929","0.550000011920929","2311","2311","2311","0.6363000273704529","0.6363000273704529","0.6363000273704529","2311","2311","2311","0.7820000052452087","0.7820000052452087","0.7820000052452087"
