"epoch","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"45","764","764","764","0.822700023651123","0.822700023651123","0.822700023651123","764","764","764","0.819100022315979","0.819100022315979","0.819100022315979","764","764","764","0.8095999956130981","0.8095999956130981","0.8095999956130981","764","764","764","0.757099986076355","0.757099986076355","0.757099986076355"
"46","781","781","781","0.8212000131607056","0.8212000131607056","0.8212000131607056","781","781","781","0.8187999725341797","0.8187999725341797","0.8187999725341797","781","781","781","0.8105999827384949","0.8105999827384949","0.8105999827384949","781","781","781","0.7465000152587891","0.7465000152587891","0.7465000152587891"
"47","797","797","797","0.8230999708175659","0.8230999708175659","0.8230999708175659","797","797","797","0.8222000002861023","0.8222000002861023","0.8222000002861023","797","797","797","0.8087000250816345","0.8087000250816345","0.8087000250816345","797","797","797","0.7511000037193298","0.7511000037193298","0.7511000037193298"
"48","814","814","814","0.8234000205993652","0.8234000205993652","0.8234000205993652","814","814","814","0.819100022315979","0.819100022315979","0.819100022315979","814","814","814","0.8136000037193298","0.8136000037193298","0.8136000037193298","814","814","814","0.751800000667572","0.751800000667572","0.751800000667572"
"49","831","831","831","0.8220999836921692","0.8220999836921692","0.8220999836921692","831","831","831","0.8220999836921692","0.8220999836921692","0.8220999836921692","831","831","831","0.8097000122070312","0.8097000122070312","0.8097000122070312","831","831","831","0.757099986076355","0.757099986076355","0.757099986076355"
"50","847","847","847","0.8223000168800354","0.8223000168800354","0.8223000168800354","847","847","847","0.8202999830245972","0.8202999830245972","0.8202999830245972","847","847","847","0.8101000189781189","0.8101000189781189","0.8101000189781189","847","847","847","0.7616000175476074","0.7616000175476074","0.7616000175476074"
"51","864","864","864","0.8248000144958496","0.8248000144958496","0.8248000144958496","864","864","864","0.8227999806404114","0.8227999806404114","0.8227999806404114","864","864","864","0.8134999871253967","0.8134999871253967","0.8134999871253967","864","864","864","0.7623000144958496","0.7623000144958496","0.7623000144958496"
"52","880","880","880","0.8246999979019165","0.8246999979019165","0.8246999979019165","880","880","880","0.8216999769210815","0.8216999769210815","0.8216999769210815","880","880","880","0.8111000061035156","0.8111000061035156","0.8111000061035156","880","880","880","0.7551000118255615","0.7551000118255615","0.7551000118255615"
"53","897","897","897","0.8238000273704529","0.8238000273704529","0.8238000273704529","897","897","897","0.8235999941825867","0.8235999941825867","0.8235999941825867","897","897","897","0.8126000165939331","0.8126000165939331","0.8126000165939331","897","897","897","0.7644000053405762","0.7644000053405762","0.7644000053405762"
"54","914","914","914","0.8197000026702881","0.8197000026702881","0.8197000026702881","914","914","914","0.8224999904632568","0.8224999904632568","0.8224999904632568","914","914","914","0.8104000091552734","0.8104000091552734","0.8104000091552734","914","914","914","0.774399995803833","0.774399995803833","0.774399995803833"
"55","930","930","930","0.822700023651123","0.822700023651123","0.822700023651123","930","930","930","0.8180999755859375","0.8180999755859375","0.8180999755859375","930","930","930","0.8120999932289124","0.8120999932289124","0.8120999932289124","930","930","930","0.7609000205993652","0.7609000205993652","0.7609000205993652"
"56","947","947","947","0.8233000040054321","0.8233000040054321","0.8233000040054321","947","947","947","0.8205000162124634","0.8205000162124634","0.8205000162124634","947","947","947","0.8151999711990356","0.8151999711990356","0.8151999711990356","947","947","947","0.7660999894142151","0.7660999894142151","0.7660999894142151"
"57","964","964","964","0.822700023651123","0.822700023651123","0.822700023651123","964","964","964","0.8202999830245972","0.8202999830245972","0.8202999830245972","964","964","964","0.815500020980835","0.815500020980835","0.815500020980835","964","964","964","0.7615000009536743","0.7615000009536743","0.7615000009536743"
"58","980","980","980","0.8263000249862671","0.8263000249862671","0.8263000249862671","980","980","980","0.8223000168800354","0.8223000168800354","0.8223000168800354","980","980","980","0.8130000233650208","0.8130000233650208","0.8130000233650208","980","980","980","0.7626000046730042","0.7626000046730042","0.7626000046730042"
"59","997","997","997","0.8235999941825867","0.8235999941825867","0.8235999941825867","997","997","997","0.8238000273704529","0.8238000273704529","0.8238000273704529","997","997","997","0.8131999969482422","0.8131999969482422","0.8131999969482422","997","997","997","0.7681999802589417","0.7681999802589417","0.7681999802589417"
"60","1014","1014","1014","0.8240000009536743","0.8240000009536743","0.8240000009536743","1014","1014","1014","0.8230000138282776","0.8230000138282776","0.8230000138282776","1014","1014","1014","0.8122000098228455","0.8122000098228455","0.8122000098228455","1014","1014","1014","0.7508999705314636","0.7508999705314636","0.7508999705314636"
"61","1030","1030","1030","0.8253999948501587","0.8253999948501587","0.8253999948501587","1030","1030","1030","0.819599986076355","0.819599986076355","0.819599986076355","1030","1030","1030","0.8134999871253967","0.8134999871253967","0.8134999871253967","1030","1030","1030","0.7651000022888184","0.7651000022888184","0.7651000022888184"
"62","1047","1047","1047","0.8238000273704529","0.8238000273704529","0.8238000273704529","1047","1047","1047","0.8202000260353088","0.8202000260353088","0.8202000260353088","1047","1047","1047","0.817300021648407","0.817300021648407","0.817300021648407","1047","1047","1047","0.7670999765396118","0.7670999765396118","0.7670999765396118"
"63","1063","1063","1063","0.8252000212669373","0.8252000212669373","0.8252000212669373","1063","1063","1063","0.8201000094413757","0.8201000094413757","0.8201000094413757","1063","1063","1063","0.8126000165939331","0.8126000165939331","0.8126000165939331","1063","1063","1063","0.7617999911308289","0.7617999911308289","0.7617999911308289"
"64","1080","1080","1080","0.8223999738693237","0.8223999738693237","0.8223999738693237","1080","1080","1080","0.8195000290870667","0.8195000290870667","0.8195000290870667","1080","1080","1080","0.8123000264167786","0.8123000264167786","0.8123000264167786","1080","1080","1080","0.7641000151634216","0.7641000151634216","0.7641000151634216"
"65","1097","1097","1097","0.8264999985694885","0.8264999985694885","0.8264999985694885","1097","1097","1097","0.8198000192642212","0.8198000192642212","0.8198000192642212","1097","1097","1097","0.8138999938964844","0.8138999938964844","0.8138999938964844","1097","1097","1097","0.7671999931335449","0.7671999931335449","0.7671999931335449"
"66","1113","1113","1113","0.8274999856948853","0.8274999856948853","0.8274999856948853","1113","1113","1113","0.820900022983551","0.820900022983551","0.820900022983551","1113","1113","1113","0.8151000142097473","0.8151000142097473","0.8151000142097473","1113","1113","1113","0.7620000243186951","0.7620000243186951","0.7620000243186951"
"67","1130","1130","1130","0.8277999758720398","0.8277999758720398","0.8277999758720398","1130","1130","1130","0.8206999897956848","0.8206999897956848","0.8206999897956848","1130","1130","1130","0.8149999976158142","0.8149999976158142","0.8149999976158142","1130","1130","1130","0.7721999883651733","0.7721999883651733","0.7721999883651733"
"68","1147","1147","1147","0.8238000273704529","0.8238000273704529","0.8238000273704529","1147","1147","1147","0.8216999769210815","0.8216999769210815","0.8216999769210815","1147","1147","1147","0.8126999735832214","0.8126999735832214","0.8126999735832214","1147","1147","1147","0.7706000208854675","0.7706000208854675","0.7706000208854675"
"69","1163","1163","1163","0.8240000009536743","0.8240000009536743","0.8240000009536743","1163","1163","1163","0.8199999928474426","0.8199999928474426","0.8199999928474426","1163","1163","1163","0.8130000233650208","0.8130000233650208","0.8130000233650208","1163","1163","1163","0.7563999891281128","0.7563999891281128","0.7563999891281128"
"70","1180","1180","1180","0.8281999826431274","0.8281999826431274","0.8281999826431274","1180","1180","1180","0.8241999745368958","0.8241999745368958","0.8241999745368958","1180","1180","1180","0.8131999969482422","0.8131999969482422","0.8131999969482422","1180","1180","1180","0.7638999819755554","0.7638999819755554","0.7638999819755554"
"71","1197","1197","1197","0.824400007724762","0.824400007724762","0.824400007724762","1197","1197","1197","0.822700023651123","0.822700023651123","0.822700023651123","1197","1197","1197","0.8179000020027161","0.8179000020027161","0.8179000020027161","1197","1197","1197","0.7760000228881836","0.7760000228881836","0.7760000228881836"
"72","1213","1213","1213","0.8282999992370605","0.8282999992370605","0.8282999992370605","1213","1213","1213","0.819599986076355","0.819599986076355","0.819599986076355","1213","1213","1213","0.8147000074386597","0.8147000074386597","0.8147000074386597","1213","1213","1213","0.776199996471405","0.776199996471405","0.776199996471405"
"73","1230","1230","1230","0.8248000144958496","0.8248000144958496","0.8248000144958496","1230","1230","1230","0.8206999897956848","0.8206999897956848","0.8206999897956848","1230","1230","1230","0.8152999877929688","0.8152999877929688","0.8152999877929688","1230","1230","1230","0.7613999843597412","0.7613999843597412","0.7613999843597412"
"74","1247","1247","1247","0.8248999714851379","0.8248999714851379","0.8248999714851379","1247","1247","1247","0.8187000155448914","0.8187000155448914","0.8187000155448914","1247","1247","1247","0.8105000257492065","0.8105000257492065","0.8105000257492065","1247","1247","1247","0.7682999968528748","0.7682999968528748","0.7682999968528748"
"75","1263","1263","1263","0.8278999924659729","0.8278999924659729","0.8278999924659729","1263","1263","1263","0.820900022983551","0.820900022983551","0.820900022983551","1263","1263","1263","0.8123999834060669","0.8123999834060669","0.8123999834060669","1263","1263","1263","0.7734000086784363","0.7734000086784363","0.7734000086784363"
"76","1280","1280","1280","0.8260999917984009","0.8260999917984009","0.8260999917984009","1280","1280","1280","0.8222000002861023","0.8222000002861023","0.8222000002861023","1280","1280","1280","0.8113999962806702","0.8113999962806702","0.8113999962806702","1280","1280","1280","0.7705000042915344","0.7705000042915344","0.7705000042915344"
"77","1296","1296","1296","0.824400007724762","0.824400007724762","0.824400007724762","1296","1296","1296","0.8195000290870667","0.8195000290870667","0.8195000290870667","1296","1296","1296","0.8141000270843506","0.8141000270843506","0.8141000270843506","1296","1296","1296","0.7736999988555908","0.7736999988555908","0.7736999988555908"
"78","1313","1313","1313","0.826200008392334","0.826200008392334","0.826200008392334","1313","1313","1313","0.8245000243186951","0.8245000243186951","0.8245000243186951","1313","1313","1313","0.817300021648407","0.817300021648407","0.817300021648407","1313","1313","1313","0.7759000062942505","0.7759000062942505","0.7759000062942505"
"79","1330","1330","1330","0.824999988079071","0.824999988079071","0.824999988079071","1330","1330","1330","0.8195000290870667","0.8195000290870667","0.8195000290870667","1330","1330","1330","0.8098000288009644","0.8098000288009644","0.8098000288009644","1330","1330","1330","0.7728999853134155","0.7728999853134155","0.7728999853134155"
"80","1346","1346","1346","0.8238999843597412","0.8238999843597412","0.8238999843597412","1346","1346","1346","0.8192999958992004","0.8192999958992004","0.8192999958992004","1346","1346","1346","0.8116999864578247","0.8116999864578247","0.8116999864578247","1346","1346","1346","0.7649000287055969","0.7649000287055969","0.7649000287055969"
"81","1363","1363","1363","0.8252000212669373","0.8252000212669373","0.8252000212669373","1363","1363","1363","0.8198999762535095","0.8198999762535095","0.8198999762535095","1363","1363","1363","0.8147000074386597","0.8147000074386597","0.8147000074386597","1363","1363","1363","0.7681999802589417","0.7681999802589417","0.7681999802589417"
"82","1380","1380","1380","0.8242999911308289","0.8242999911308289","0.8242999911308289","1380","1380","1380","0.8216999769210815","0.8216999769210815","0.8216999769210815","1380","1380","1380","0.814300000667572","0.814300000667572","0.814300000667572","1380","1380","1380","0.777999997138977","0.777999997138977","0.777999997138977"
"83","1396","1396","1396","0.8260999917984009","0.8260999917984009","0.8260999917984009","1396","1396","1396","0.8191999793052673","0.8191999793052673","0.8191999793052673","1396","1396","1396","0.8151999711990356","0.8151999711990356","0.8151999711990356","1396","1396","1396","0.775600016117096","0.775600016117096","0.775600016117096"
"84","1413","1413","1413","0.8263999819755554","0.8263999819755554","0.8263999819755554","1413","1413","1413","0.8202000260353088","0.8202000260353088","0.8202000260353088","1413","1413","1413","0.8154000043869019","0.8154000043869019","0.8154000043869019","1413","1413","1413","0.7649999856948853","0.7649999856948853","0.7649999856948853"
"85","1430","1430","1430","0.8213000297546387","0.8213000297546387","0.8213000297546387","1430","1430","1430","0.8223000168800354","0.8223000168800354","0.8223000168800354","1430","1430","1430","0.8141000270843506","0.8141000270843506","0.8141000270843506","1430","1430","1430","0.7736999988555908","0.7736999988555908","0.7736999988555908"
"86","1446","1446","1446","0.824400007724762","0.824400007724762","0.824400007724762","1446","1446","1446","0.8206999897956848","0.8206999897956848","0.8206999897956848","1446","1446","1446","0.8140000104904175","0.8140000104904175","0.8140000104904175","1446","1446","1446","0.7644000053405762","0.7644000053405762","0.7644000053405762"
"87","1463","1463","1463","0.8245999813079834","0.8245999813079834","0.8245999813079834","1463","1463","1463","0.8188999891281128","0.8188999891281128","0.8188999891281128","1463","1463","1463","0.8125","0.8125","0.8125","1463","1463","1463","0.7766000032424927","0.7766000032424927","0.7766000032424927"
"88","1479","1479","1479","0.8266000151634216","0.8266000151634216","0.8266000151634216","1479","1479","1479","0.8227999806404114","0.8227999806404114","0.8227999806404114","1479","1479","1479","0.815500020980835","0.815500020980835","0.815500020980835","1479","1479","1479","0.7706000208854675","0.7706000208854675","0.7706000208854675"
"89","1496","1496","1496","0.8235999941825867","0.8235999941825867","0.8235999941825867","1496","1496","1496","0.8216000199317932","0.8216000199317932","0.8216000199317932","1496","1496","1496","0.8105000257492065","0.8105000257492065","0.8105000257492065","1496","1496","1496","0.7802000045776367","0.7802000045776367","0.7802000045776367"
"90","1513","1513","1513","0.8258000016212463","0.8258000016212463","0.8258000016212463","1513","1513","1513","0.8203999996185303","0.8203999996185303","0.8203999996185303","1513","1513","1513","0.8137000203132629","0.8137000203132629","0.8137000203132629","1513","1513","1513","0.7739999890327454","0.7739999890327454","0.7739999890327454"
"91","1529","1529","1529","0.8246999979019165","0.8246999979019165","0.8246999979019165","1529","1529","1529","0.8202999830245972","0.8202999830245972","0.8202999830245972","1529","1529","1529","0.817799985408783","0.817799985408783","0.817799985408783","1529","1529","1529","0.7835000157356262","0.7835000157356262","0.7835000157356262"
"92","1546","1546","1546","0.8245000243186951","0.8245000243186951","0.8245000243186951","1546","1546","1546","0.819100022315979","0.819100022315979","0.819100022315979","1546","1546","1546","0.8180999755859375","0.8180999755859375","0.8180999755859375","1546","1546","1546","0.7825000286102295","0.7825000286102295","0.7825000286102295"
"93","1563","1563","1563","0.822700023651123","0.822700023651123","0.822700023651123","1563","1563","1563","0.8205000162124634","0.8205000162124634","0.8205000162124634","1563","1563","1563","0.8151999711990356","0.8151999711990356","0.8151999711990356","1563","1563","1563","0.7750999927520752","0.7750999927520752","0.7750999927520752"
"94","1579","1579","1579","0.8270999789237976","0.8270999789237976","0.8270999789237976","1579","1579","1579","0.8166999816894531","0.8166999816894531","0.8166999816894531","1579","1579","1579","0.8152999877929688","0.8152999877929688","0.8152999877929688","1579","1579","1579","0.7759000062942505","0.7759000062942505","0.7759000062942505"
"95","1596","1596","1596","0.8227999806404114","0.8227999806404114","0.8227999806404114","1596","1596","1596","0.8201000094413757","0.8201000094413757","0.8201000094413757","1596","1596","1596","0.8125","0.8125","0.8125","1596","1596","1596","0.7799000144004822","0.7799000144004822","0.7799000144004822"
"96","1613","1613","1613","0.8233000040054321","0.8233000040054321","0.8233000040054321","1613","1613","1613","0.8191999793052673","0.8191999793052673","0.8191999793052673","1613","1613","1613","0.8173999786376953","0.8173999786376953","0.8173999786376953","1613","1613","1613","0.7757999897003174","0.7757999897003174","0.7757999897003174"
"97","1629","1629","1629","0.8273000121116638","0.8273000121116638","0.8273000121116638","1629","1629","1629","0.8187999725341797","0.8187999725341797","0.8187999725341797","1629","1629","1629","0.8087999820709229","0.8087999820709229","0.8087999820709229","1629","1629","1629","0.7667999863624573","0.7667999863624573","0.7667999863624573"
"98","1646","1646","1646","0.8241000175476074","0.8241000175476074","0.8241000175476074","1646","1646","1646","0.8201000094413757","0.8201000094413757","0.8201000094413757","1646","1646","1646","0.8102999925613403","0.8102999925613403","0.8102999925613403","1646","1646","1646","0.7667999863624573","0.7667999863624573","0.7667999863624573"
"99","1663","1663","1663","0.8248000144958496","0.8248000144958496","0.8248000144958496","1663","1663","1663","0.8194000124931335","0.8194000124931335","0.8194000124931335","1663","1663","1663","0.8105000257492065","0.8105000257492065","0.8105000257492065","1663","1663","1663","0.7764999866485596","0.7764999866485596","0.7764999866485596"
"100","1679","1679","1679","0.8274999856948853","0.8274999856948853","0.8274999856948853","1679","1679","1679","0.8241999745368958","0.8241999745368958","0.8241999745368958","1679","1679","1679","0.8169000148773193","0.8169000148773193","0.8169000148773193","1679","1679","1679","0.7961999773979187","0.7961999773979187","0.7961999773979187"
"101","1696","1696","1696","0.829200029373169","0.829200029373169","0.829200029373169","1696","1696","1696","0.8251000046730042","0.8251000046730042","0.8251000046730042","1696","1696","1696","0.8190000057220459","0.8190000057220459","0.8190000057220459","1696","1696","1696","0.7973999977111816","0.7973999977111816","0.7973999977111816"
"102","1712","1712","1712","0.8288999795913696","0.8288999795913696","0.8288999795913696","1712","1712","1712","0.8255000114440918","0.8255000114440918","0.8255000114440918","1712","1712","1712","0.8219000101089478","0.8219000101089478","0.8219000101089478","1712","1712","1712","0.7980999946594238","0.7980999946594238","0.7980999946594238"
"103","1729","1729","1729","0.829200029373169","0.829200029373169","0.829200029373169","1729","1729","1729","0.8267999887466431","0.8267999887466431","0.8267999887466431","1729","1729","1729","0.8195000290870667","0.8195000290870667","0.8195000290870667","1729","1729","1729","0.7986000180244446","0.7986000180244446","0.7986000180244446"
"104","1746","1746","1746","0.8299999833106995","0.8299999833106995","0.8299999833106995","1746","1746","1746","0.826200008392334","0.826200008392334","0.826200008392334","1746","1746","1746","0.8208000063896179","0.8208000063896179","0.8208000063896179","1746","1746","1746","0.7997999787330627","0.7997999787330627","0.7997999787330627"
"105","1762","1762","1762","0.8288999795913696","0.8288999795913696","0.8288999795913696","1762","1762","1762","0.8256000280380249","0.8256000280380249","0.8256000280380249","1762","1762","1762","0.8212000131607056","0.8212000131607056","0.8212000131607056","1762","1762","1762","0.8008999824523926","0.8008999824523926","0.8008999824523926"
"106","1779","1779","1779","0.8295000195503235","0.8295000195503235","0.8295000195503235","1779","1779","1779","0.826200008392334","0.826200008392334","0.826200008392334","1779","1779","1779","0.821399986743927","0.821399986743927","0.821399986743927","1779","1779","1779","0.8033000230789185","0.8033000230789185","0.8033000230789185"
"107","1796","1796","1796","0.8314999938011169","0.8314999938011169","0.8314999938011169","1796","1796","1796","0.8269000053405762","0.8269000053405762","0.8269000053405762","1796","1796","1796","0.8197000026702881","0.8197000026702881","0.8197000026702881","1796","1796","1796","0.8040000200271606","0.8040000200271606","0.8040000200271606"
"108","1812","1812","1812","0.829200029373169","0.829200029373169","0.829200029373169","1812","1812","1812","0.8251000046730042","0.8251000046730042","0.8251000046730042","1812","1812","1812","0.8224999904632568","0.8224999904632568","0.8224999904632568","1812","1812","1812","0.8014000058174133","0.8014000058174133","0.8014000058174133"
"109","1829","1829","1829","0.829800009727478","0.829800009727478","0.829800009727478","1829","1829","1829","0.8274000287055969","0.8274000287055969","0.8274000287055969","1829","1829","1829","0.8217999935150146","0.8217999935150146","0.8217999935150146","1829","1829","1829","0.8062999844551086","0.8062999844551086","0.8062999844551086"
"110","1846","1846","1846","0.8306999802589417","0.8306999802589417","0.8306999802589417","1846","1846","1846","0.8263000249862671","0.8263000249862671","0.8263000249862671","1846","1846","1846","0.8208000063896179","0.8208000063896179","0.8208000063896179","1846","1846","1846","0.804099977016449","0.804099977016449","0.804099977016449"
"111","1862","1862","1862","0.8287000060081482","0.8287000060081482","0.8287000060081482","1862","1862","1862","0.8273000121116638","0.8273000121116638","0.8273000121116638","1862","1862","1862","0.8230999708175659","0.8230999708175659","0.8230999708175659","1862","1862","1862","0.803600013256073","0.803600013256073","0.803600013256073"
"112","1879","1879","1879","0.8303999900817871","0.8303999900817871","0.8303999900817871","1879","1879","1879","0.8259999752044678","0.8259999752044678","0.8259999752044678","1879","1879","1879","0.8209999799728394","0.8209999799728394","0.8209999799728394","1879","1879","1879","0.8052999973297119","0.8052999973297119","0.8052999973297119"
"113","1895","1895","1895","0.8278999924659729","0.8278999924659729","0.8278999924659729","1895","1895","1895","0.8252000212669373","0.8252000212669373","0.8252000212669373","1895","1895","1895","0.8216999769210815","0.8216999769210815","0.8216999769210815","1895","1895","1895","0.8062000274658203","0.8062000274658203","0.8062000274658203"
"114","1912","1912","1912","0.828499972820282","0.828499972820282","0.828499972820282","1912","1912","1912","0.8259999752044678","0.8259999752044678","0.8259999752044678","1912","1912","1912","0.8235999941825867","0.8235999941825867","0.8235999941825867","1912","1912","1912","0.8083999752998352","0.8083999752998352","0.8083999752998352"
"115","1929","1929","1929","0.8288999795913696","0.8288999795913696","0.8288999795913696","1929","1929","1929","0.8256999850273132","0.8256999850273132","0.8256999850273132","1929","1929","1929","0.8223000168800354","0.8223000168800354","0.8223000168800354","1929","1929","1929","0.8083999752998352","0.8083999752998352","0.8083999752998352"
"116","1945","1945","1945","0.8278999924659729","0.8278999924659729","0.8278999924659729","1945","1945","1945","0.8242999911308289","0.8242999911308289","0.8242999911308289","1945","1945","1945","0.8215000033378601","0.8215000033378601","0.8215000033378601","1945","1945","1945","0.8076000213623047","0.8076000213623047","0.8076000213623047"
"117","1962","1962","1962","0.8282999992370605","0.8282999992370605","0.8282999992370605","1962","1962","1962","0.8259000182151794","0.8259000182151794","0.8259000182151794","1962","1962","1962","0.8230000138282776","0.8230000138282776","0.8230000138282776","1962","1962","1962","0.8066999912261963","0.8066999912261963","0.8066999912261963"
"118","1979","1979","1979","0.8295000195503235","0.8295000195503235","0.8295000195503235","1979","1979","1979","0.8270000219345093","0.8270000219345093","0.8270000219345093","1979","1979","1979","0.8223000168800354","0.8223000168800354","0.8223000168800354","1979","1979","1979","0.8040000200271606","0.8040000200271606","0.8040000200271606"
"119","1995","1995","1995","0.8305000066757202","0.8305000066757202","0.8305000066757202","1995","1995","1995","0.8252000212669373","0.8252000212669373","0.8252000212669373","1995","1995","1995","0.8223000168800354","0.8223000168800354","0.8223000168800354","1995","1995","1995","0.8100000023841858","0.8100000023841858","0.8100000023841858"
"120","2012","2012","2012","0.8291000127792358","0.8291000127792358","0.8291000127792358","2012","2012","2012","0.8259999752044678","0.8259999752044678","0.8259999752044678","2012","2012","2012","0.8219000101089478","0.8219000101089478","0.8219000101089478","2012","2012","2012","0.8069999814033508","0.8069999814033508","0.8069999814033508"
"121","2029","2029","2029","0.8291000127792358","0.8291000127792358","0.8291000127792358","2029","2029","2029","0.8292999863624573","0.8292999863624573","0.8292999863624573","2029","2029","2029","0.8230999708175659","0.8230999708175659","0.8230999708175659","2029","2029","2029","0.8076000213623047","0.8076000213623047","0.8076000213623047"
"122","2045","2045","2045","0.8292999863624573","0.8292999863624573","0.8292999863624573","2045","2045","2045","0.826200008392334","0.826200008392334","0.826200008392334","2045","2045","2045","0.8238000273704529","0.8238000273704529","0.8238000273704529","2045","2045","2045","0.8059999942779541","0.8059999942779541","0.8059999942779541"
"123","2062","2062","2062","0.8299000263214111","0.8299000263214111","0.8299000263214111","2062","2062","2062","0.8266000151634216","0.8266000151634216","0.8266000151634216","2062","2062","2062","0.8230999708175659","0.8230999708175659","0.8230999708175659","2062","2062","2062","0.807200014591217","0.807200014591217","0.807200014591217"
"124","2079","2079","2079","0.828000009059906","0.828000009059906","0.828000009059906","2079","2079","2079","0.8255000114440918","0.8255000114440918","0.8255000114440918","2079","2079","2079","0.821399986743927","0.821399986743927","0.821399986743927","2079","2079","2079","0.8072999715805054","0.8072999715805054","0.8072999715805054"
"125","2095","2095","2095","0.8299000263214111","0.8299000263214111","0.8299000263214111","2095","2095","2095","0.8256999850273132","0.8256999850273132","0.8256999850273132","2095","2095","2095","0.8226000070571899","0.8226000070571899","0.8226000070571899","2095","2095","2095","0.8054999709129333","0.8054999709129333","0.8054999709129333"
"126","2112","2112","2112","0.8307999968528748","0.8307999968528748","0.8307999968528748","2112","2112","2112","0.8263000249862671","0.8263000249862671","0.8263000249862671","2112","2112","2112","0.8199999928474426","0.8199999928474426","0.8199999928474426","2112","2112","2112","0.807200014591217","0.807200014591217","0.807200014591217"
"127","2128","2128","2128","0.8300999999046326","0.8300999999046326","0.8300999999046326","2128","2128","2128","0.8248999714851379","0.8248999714851379","0.8248999714851379","2128","2128","2128","0.823199987411499","0.823199987411499","0.823199987411499","2128","2128","2128","0.8054999709129333","0.8054999709129333","0.8054999709129333"
"128","2145","2145","2145","0.8307999968528748","0.8307999968528748","0.8307999968528748","2145","2145","2145","0.8252999782562256","0.8252999782562256","0.8252999782562256","2145","2145","2145","0.823199987411499","0.823199987411499","0.823199987411499","2145","2145","2145","0.8070999979972839","0.8070999979972839","0.8070999979972839"
"129","2162","2162","2162","0.8288000226020813","0.8288000226020813","0.8288000226020813","2162","2162","2162","0.8281000256538391","0.8281000256538391","0.8281000256538391","2162","2162","2162","0.822700023651123","0.822700023651123","0.822700023651123","2162","2162","2162","0.8055999875068665","0.8055999875068665","0.8055999875068665"
"130","2178","2178","2178","0.8307999968528748","0.8307999968528748","0.8307999968528748","2178","2178","2178","0.826200008392334","0.826200008392334","0.826200008392334","2178","2178","2178","0.8234000205993652","0.8234000205993652","0.8234000205993652","2178","2178","2178","0.8047999739646912","0.8047999739646912","0.8047999739646912"
