"epoch","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"12","215","215","215","0.6298999786376953","0.6298999786376953","0.6298999786376953","215","215","215","0.8016999959945679","0.8016999959945679","0.8016999959945679","215","215","215","0.8029999732971191","0.8029999732971191","0.8029999732971191","215","215","215","0.7727000117301941","0.7727000117301941","0.7727000117301941"
"13","231","231","231","0.6140999794006348","0.6140999794006348","0.6140999794006348","231","231","231","0.8022000193595886","0.8022000193595886","0.8022000193595886","231","231","231","0.8162999749183655","0.8162999749183655","0.8162999749183655","231","231","231","0.7904999852180481","0.7904999852180481","0.7904999852180481"
"14","248","248","248","0.6463000178337097","0.6463000178337097","0.6463000178337097","248","248","248","0.796999990940094","0.796999990940094","0.796999990940094","248","248","248","0.8216999769210815","0.8216999769210815","0.8216999769210815","248","248","248","0.7983999848365784","0.7983999848365784","0.7983999848365784"
"15","265","265","265","0.632099986076355","0.632099986076355","0.632099986076355","265","265","265","0.8055999875068665","0.8055999875068665","0.8055999875068665","265","265","265","0.8299000263214111","0.8299000263214111","0.8299000263214111","265","265","265","0.8170999884605408","0.8170999884605408","0.8170999884605408"
"16","281","281","281","0.6430000066757202","0.6430000066757202","0.6430000066757202","281","281","281","0.8079000115394592","0.8079000115394592","0.8079000115394592","281","281","281","0.8252000212669373","0.8252000212669373","0.8252000212669373","281","281","281","0.7979000210762024","0.7979000210762024","0.7979000210762024"
"17","298","298","298","0.6488999724388123","0.6488999724388123","0.6488999724388123","298","298","298","0.8140000104904175","0.8140000104904175","0.8140000104904175","298","298","298","0.8248999714851379","0.8248999714851379","0.8248999714851379","298","298","298","0.8255000114440918","0.8255000114440918","0.8255000114440918"
"18","315","315","315","0.6334999799728394","0.6334999799728394","0.6334999799728394","315","315","315","0.8188999891281128","0.8188999891281128","0.8188999891281128","315","315","315","0.8270000219345093","0.8270000219345093","0.8270000219345093","315","315","315","0.8222000002861023","0.8222000002861023","0.8222000002861023"
"19","331","331","331","0.6459000110626221","0.6459000110626221","0.6459000110626221","331","331","331","0.8098999857902527","0.8098999857902527","0.8098999857902527","331","331","331","0.8399999737739563","0.8399999737739563","0.8399999737739563","331","331","331","0.8295999765396118","0.8295999765396118","0.8295999765396118"
"20","348","348","348","0.6363999843597412","0.6363999843597412","0.6363999843597412","348","348","348","0.8245999813079834","0.8245999813079834","0.8245999813079834","348","348","348","0.8445000052452087","0.8445000052452087","0.8445000052452087","348","348","348","0.8202999830245972","0.8202999830245972","0.8202999830245972"
"21","365","365","365","0.636900007724762","0.636900007724762","0.636900007724762","365","365","365","0.8234999775886536","0.8234999775886536","0.8234999775886536","365","365","365","0.8440999984741211","0.8440999984741211","0.8440999984741211","365","365","365","0.8285999894142151","0.8285999894142151","0.8285999894142151"
"22","381","381","381","0.6585000157356262","0.6585000157356262","0.6585000157356262","381","381","381","0.807699978351593","0.807699978351593","0.807699978351593","381","381","381","0.8342999815940857","0.8342999815940857","0.8342999815940857","381","381","381","0.8295999765396118","0.8295999765396118","0.8295999765396118"
