"epoch","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"12","215","215","215","0.8460999727249146","0.8460999727249146","0.8460999727249146","215","215","215","0.84170001745224","0.84170001745224","0.84170001745224","215","215","215","0.8062000274658203","0.8062000274658203","0.8062000274658203","215","215","215","0.6218000054359436","0.6218000054359436","0.6218000054359436"
"13","231","231","231","0.843999981880188","0.843999981880188","0.843999981880188","231","231","231","0.8463000059127808","0.8463000059127808","0.8463000059127808","231","231","231","0.8100000023841858","0.8100000023841858","0.8100000023841858","231","231","231","0.6134999990463257","0.6134999990463257","0.6134999990463257"
"14","248","248","248","0.8445000052452087","0.8445000052452087","0.8445000052452087","248","248","248","0.8458999991416931","0.8458999991416931","0.8458999991416931","248","248","248","0.8082000017166138","0.8082000017166138","0.8082000017166138","248","248","248","0.6373999714851379","0.6373999714851379","0.6373999714851379"
"15","265","265","265","0.840399980545044","0.840399980545044","0.840399980545044","265","265","265","0.8475000262260437","0.8475000262260437","0.8475000262260437","265","265","265","0.8123000264167786","0.8123000264167786","0.8123000264167786","265","265","265","0.6355000138282776","0.6355000138282776","0.6355000138282776"
"16","281","281","281","0.8442999720573425","0.8442999720573425","0.8442999720573425","281","281","281","0.8447999954223633","0.8447999954223633","0.8447999954223633","281","281","281","0.8098000288009644","0.8098000288009644","0.8098000288009644","281","281","281","0.6517999768257141","0.6517999768257141","0.6517999768257141"
"17","298","298","298","0.847100019454956","0.847100019454956","0.847100019454956","298","298","298","0.8486999869346619","0.8486999869346619","0.8486999869346619","298","298","298","0.8172000050544739","0.8172000050544739","0.8172000050544739","298","298","298","0.6504999995231628","0.6504999995231628","0.6504999995231628"
"18","315","315","315","0.8418999910354614","0.8418999910354614","0.8418999910354614","315","315","315","0.8482999801635742","0.8482999801635742","0.8482999801635742","315","315","315","0.8203999996185303","0.8203999996185303","0.8203999996185303","315","315","315","0.6541000008583069","0.6541000008583069","0.6541000008583069"
"19","331","331","331","0.8453999757766724","0.8453999757766724","0.8453999757766724","331","331","331","0.8504999876022339","0.8504999876022339","0.8504999876022339","331","331","331","0.8156999945640564","0.8156999945640564","0.8156999945640564","331","331","331","0.6621999740600586","0.6621999740600586","0.6621999740600586"
"20","348","348","348","0.8443999886512756","0.8443999886512756","0.8443999886512756","348","348","348","0.8482999801635742","0.8482999801635742","0.8482999801635742","348","348","348","0.8190000057220459","0.8190000057220459","0.8190000057220459","348","348","348","0.6523000001907349","0.6523000001907349","0.6523000001907349"
"21","365","365","365","0.8464000225067139","0.8464000225067139","0.8464000225067139","365","365","365","0.8464000225067139","0.8464000225067139","0.8464000225067139","365","365","365","0.8203999996185303","0.8203999996185303","0.8203999996185303","365","365","365","0.6525999903678894","0.6525999903678894","0.6525999903678894"
"22","381","381","381","0.8468000292778015","0.8468000292778015","0.8468000292778015","381","381","381","0.8458999991416931","0.8458999991416931","0.8458999991416931","381","381","381","0.8205000162124634","0.8205000162124634","0.8205000162124634","381","381","381","0.6586999893188477","0.6586999893188477","0.6586999893188477"
"23","398","398","398","0.8446999788284302","0.8446999788284302","0.8446999788284302","398","398","398","0.8479999899864197","0.8479999899864197","0.8479999899864197","398","398","398","0.8224999904632568","0.8224999904632568","0.8224999904632568","398","398","398","0.6797000169754028","0.6797000169754028","0.6797000169754028"
"24","415","415","415","0.8445000052452087","0.8445000052452087","0.8445000052452087","415","415","415","0.8435999751091003","0.8435999751091003","0.8435999751091003","415","415","415","0.8199999928474426","0.8199999928474426","0.8199999928474426","415","415","415","0.6751999855041504","0.6751999855041504","0.6751999855041504"
"25","431","431","431","0.8428000211715698","0.8428000211715698","0.8428000211715698","431","431","431","0.8440999984741211","0.8440999984741211","0.8440999984741211","431","431","431","0.8222000002861023","0.8222000002861023","0.8222000002861023","431","431","431","0.6593000292778015","0.6593000292778015","0.6593000292778015"
"26","448","448","448","0.8465999960899353","0.8465999960899353","0.8465999960899353","448","448","448","0.8460999727249146","0.8460999727249146","0.8460999727249146","448","448","448","0.8274999856948853","0.8274999856948853","0.8274999856948853","448","448","448","0.6733999848365784","0.6733999848365784","0.6733999848365784"
"27","464","464","464","0.8463000059127808","0.8463000059127808","0.8463000059127808","464","464","464","0.8472999930381775","0.8472999930381775","0.8472999930381775","464","464","464","0.829800009727478","0.829800009727478","0.829800009727478","464","464","464","0.6777999997138977","0.6777999997138977","0.6777999997138977"
"28","481","481","481","0.847100019454956","0.847100019454956","0.847100019454956","481","481","481","0.8482000231742859","0.8482000231742859","0.8482000231742859","481","481","481","0.8299000263214111","0.8299000263214111","0.8299000263214111","481","481","481","0.6751999855041504","0.6751999855041504","0.6751999855041504"
"29","498","498","498","0.8454999923706055","0.8454999923706055","0.8454999923706055","498","498","498","0.8447999954223633","0.8447999954223633","0.8447999954223633","498","498","498","0.830299973487854","0.830299973487854","0.830299973487854","498","498","498","0.6933000087738037","0.6933000087738037","0.6933000087738037"
"30","514","514","514","0.8454999923706055","0.8454999923706055","0.8454999923706055","514","514","514","0.8460999727249146","0.8460999727249146","0.8460999727249146","514","514","514","0.8253999948501587","0.8253999948501587","0.8253999948501587","514","514","514","0.6769000291824341","0.6769000291824341","0.6769000291824341"
"31","531","531","531","0.8445000052452087","0.8445000052452087","0.8445000052452087","531","531","531","0.84579998254776","0.84579998254776","0.84579998254776","531","531","531","0.8284000158309937","0.8284000158309937","0.8284000158309937","531","531","531","0.6880999803543091","0.6880999803543091","0.6880999803543091"
"32","548","548","548","0.8467000126838684","0.8467000126838684","0.8467000126838684","548","548","548","0.8497999906539917","0.8497999906539917","0.8497999906539917","548","548","548","0.8317999839782715","0.8317999839782715","0.8317999839782715","548","548","548","0.6883999705314636","0.6883999705314636","0.6883999705314636"
"33","564","564","564","0.845300018787384","0.845300018787384","0.845300018787384","564","564","564","0.8478999733924866","0.8478999733924866","0.8478999733924866","564","564","564","0.83160001039505","0.83160001039505","0.83160001039505","564","564","564","0.6865000128746033","0.6865000128746033","0.6865000128746033"
